ticker,cluster,price,shares,dollar_allocation,actual_weight,target_weight,hrp,equal_weight,rebalance_date,primary_method
BKR,1,64.06999969482422,390,24987.299880981445,0.0999668979359071,0.1,0.07268162148076683,0.1,2026-08-11,markowitz_gmv
COST,2,952.75,26,24771.5,0.0991035455617247,0.1,0.16436092326113283,0.1,2026-08-11,markowitz_gmv
LRCX,3,306.3999938964844,82,25124.79949951172,0.10051699380049886,0.1,0.0405867355118334,0.1,2026-08-11,markowitz_gmv
ALNY,4,216.97999572753906,115,24952.699508666992,0.0998284719393337,0.1,0.058363879483682005,0.1,2026-08-11,markowitz_gmv
WDAY,5,184.19000244140625,136,25049.84033203125,0.10021710403727623,0.1,0.06166109451613895,0.1,2026-08-11,markowitz_gmv
XEL,6,76.87000274658203,325,24982.75089263916,0.09994869876050637,0.1,0.15079136938658638,0.1,2026-08-11,markowitz_gmv
LIN,7,492.4599914550781,51,25115.459564208984,0.10047962744384634,0.1,0.12894976381239545,0.1,2026-08-11,markowitz_gmv
REGN,8,808.0499877929688,31,25049.54962158203,0.1002159409895702,0.1,0.07964469110653812,0.1,2026-08-11,markowitz_gmv
CCEP,9,106.02999877929688,235,24917.049713134766,0.09968584750658663,0.1,0.11096980298505396,0.1,2026-08-11,markowitz_gmv
KHC,10,24.93000030517578,1003,25004.79030609131,0.1000368720247499,0.1,0.1319901184558721,0.1,2026-08-11,markowitz_gmv
BKR,1,63.439998626708984,432,27406.07940673828,0.10963369361967418,0.10962961932095543,0.0975818006492733,0.1,2026-08-14,markowitz_gmv
COST,2,961.8499755859375,36,34626.59912109375,0.13851824271515087,0.13911747017210005,0.17695262541748152,0.1,2026-08-14,markowitz_gmv
PDD,3,84.16999816894531,253,21295.009536743164,0.0851873234595286,0.085083522403021,0.07313959587300256,0.1,2026-08-14,markowitz_gmv
ALNY,4,227.1199951171875,93,21122.159545898438,0.08449586436181561,0.08426357703659065,0.05072903215425197,0.1,2026-08-14,markowitz_gmv
SHOP,5,158.52999877929688,47,7450.909942626953,0.029806188828194996,0.03,0.02789143254249874,0.1,2026-08-14,markowitz_gmv
LRCX,6,337.010009765625,46,15502.46044921875,0.06201514539956012,0.06134431581900912,0.04863844341860773,0.1,2026-08-14,markowitz_gmv
XEL,7,78.9800033569336,433,34198.341453552246,0.13680506553220884,0.13675300353858208,0.17783928804586951,0.1,2026-08-14,markowitz_gmv
CMCSA,8,26.18000030517578,1155,30237.900352478027,0.12096194620711558,0.12102108767595178,0.12746152714018966,0.1,2026-08-14,markowitz_gmv
AMGN,9,417.8399963378906,72,30084.479736328125,0.12034821125523536,0.12061573225347684,0.14266782727201588,0.1,2026-08-14,markowitz_gmv
MNST,10,46.68000030517578,601,28054.680183410645,0.11222831862151583,0.11217167178031293,0.07709842748680913,0.1,2026-08-14,markowitz_gmv
BKR,1,64.81999969482422,382,24761.23988342285,0.09984816417043589,0.1,0.10327144283436093,0.1,2026-08-17,markowitz_gmv
WDAY,2,198.67999267578125,125,24834.999084472656,0.10014559357422079,0.1,0.08378303096637896,0.1,2026-08-17,markowitz_gmv
GEHC,3,73.69000244140625,337,24833.530822753906,0.10013967289989958,0.1,0.07831228884029198,0.1,2026-08-17,markowitz_gmv
ALNY,4,228.64999389648438,108,24694.199340820312,0.09957782734015726,0.1,0.09134710538249916,0.1,2026-08-17,markowitz_gmv
LRCX,5,332.3599853515625,74,24594.638916015625,0.09917635610173871,0.1,0.0657611862407874,0.1,2026-08-17,markowitz_gmv
COST,6,961.0999755859375,26,24988.599365234375,0.10076497718030542,0.1,0.12918143216218378,0.1,2026-08-17,markowitz_gmv
XEL,7,79.16999816894531,313,24780.209426879883,0.09992465767796029,0.1,0.15564187438538213,0.1,2026-08-17,markowitz_gmv
REGN,8,803.47998046875,31,24907.87939453125,0.10043947890459128,0.1,0.07908824319356339,0.1,2026-08-17,markowitz_gmv
PEP,9,140.7899932861328,176,24779.038818359375,0.09991993727170094,0.1,0.1260926960113488,0.1,2026-08-17,markowitz_gmv
MNST,10,46.81999969482422,530,24814.599838256836,0.10006333487898986,0.1,0.08752069998320346,0.1,2026-08-17,markowitz_gmv
