ticker,cluster,price,shares,dollar_allocation,actual_weight,target_weight,hrp,equal_weight,rebalance_date,primary_method
BKR,1,64.06999969482422,390,24987.299880981445,0.0999668979359071,0.1,0.07268162148076683,0.1,2026-08-11,markowitz_gmv
COST,2,952.75,26,24771.5,0.0991035455617247,0.1,0.16436092326113283,0.1,2026-08-11,markowitz_gmv
LRCX,3,306.3999938964844,82,25124.79949951172,0.10051699380049886,0.1,0.0405867355118334,0.1,2026-08-11,markowitz_gmv
ALNY,4,216.97999572753906,115,24952.699508666992,0.0998284719393337,0.1,0.058363879483682005,0.1,2026-08-11,markowitz_gmv
WDAY,5,184.19000244140625,136,25049.84033203125,0.10021710403727623,0.1,0.06166109451613895,0.1,2026-08-11,markowitz_gmv
XEL,6,76.87000274658203,325,24982.75089263916,0.09994869876050637,0.1,0.15079136938658638,0.1,2026-08-11,markowitz_gmv
LIN,7,492.4599914550781,51,25115.459564208984,0.10047962744384634,0.1,0.12894976381239545,0.1,2026-08-11,markowitz_gmv
REGN,8,808.0499877929688,31,25049.54962158203,0.1002159409895702,0.1,0.07964469110653812,0.1,2026-08-11,markowitz_gmv
CCEP,9,106.02999877929688,235,24917.049713134766,0.09968584750658663,0.1,0.11096980298505396,0.1,2026-08-11,markowitz_gmv
KHC,10,24.93000030517578,1003,25004.79030609131,0.1000368720247499,0.1,0.1319901184558721,0.1,2026-08-11,markowitz_gmv
