ticker,cluster,price,shares,dollar_allocation,actual_weight,target_weight,hrp,equal_weight,rebalance_date,primary_method
BKR,1,63.439998626708984,432,27406.07940673828,0.10963369361967418,0.10962961932095543,0.0975818006492733,0.1,2026-08-14,markowitz_gmv
COST,2,961.8499755859375,36,34626.59912109375,0.13851824271515087,0.13911747017210005,0.17695262541748152,0.1,2026-08-14,markowitz_gmv
PDD,3,84.16999816894531,253,21295.009536743164,0.0851873234595286,0.085083522403021,0.07313959587300256,0.1,2026-08-14,markowitz_gmv
ALNY,4,227.1199951171875,93,21122.159545898438,0.08449586436181561,0.08426357703659065,0.05072903215425197,0.1,2026-08-14,markowitz_gmv
SHOP,5,158.52999877929688,47,7450.909942626953,0.029806188828194996,0.03,0.02789143254249874,0.1,2026-08-14,markowitz_gmv
LRCX,6,337.010009765625,46,15502.46044921875,0.06201514539956012,0.06134431581900912,0.04863844341860773,0.1,2026-08-14,markowitz_gmv
XEL,7,78.9800033569336,433,34198.341453552246,0.13680506553220884,0.13675300353858208,0.17783928804586951,0.1,2026-08-14,markowitz_gmv
CMCSA,8,26.18000030517578,1155,30237.900352478027,0.12096194620711558,0.12102108767595178,0.12746152714018966,0.1,2026-08-14,markowitz_gmv
AMGN,9,417.8399963378906,72,30084.479736328125,0.12034821125523536,0.12061573225347684,0.14266782727201588,0.1,2026-08-14,markowitz_gmv
MNST,10,46.68000030517578,601,28054.680183410645,0.11222831862151583,0.11217167178031293,0.07709842748680913,0.1,2026-08-14,markowitz_gmv
